Video Başlığı,Yorum Yapan,Yorum Tarihi,Yorum,Beğeni Sayısı,Yanıt Sayısı,Predicted_Class
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@sabihesimsek6258,1 yıl önce,"Hocam normalde ,yutupta hic yorum yapmamıştım bugün kendimi sizden aldıgım iyiniyetle gönülden  net qnlatmanız  n3deniyle kendim8 borclu hissettim v3 sizi taktir etmek gölümden geldi gercekten hak ediyorsunuz en güzel taktiri mukemmel saygı değer hocamız ,bende başta dahil oak üzere lütfen tüm direksiyon hocalarım .... birkered3 olsa ümmet hoca mın teorik ,pratik net bilgisi dışinda surucü adaylarına verdigi güz3l 3nerji v3 samimiyetini lütfen örnek alalım saygılarımla ümmet hocam",3,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@fatmasenturk1453,2 ay önce,Ellerinize ve emeğinize sağlık çok aydınlatıcı bir video ,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@depfreze,1 yıl önce,Oo ümmet bey drone kaydı efsane olmuş emeğinize sağlık,1,1,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@ferhatcelik4180,1 ay önce,Bu kafa karışıklığı bırakmayan apaçık video için teşekkürler,0,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@leylazorlu1743,8 ay önce,"Merhaba hocam videolarınızı izledim.Çok faydalı bilgiler vermişsiniz.Benimde yarın direksiyon sınavım var, inşallah tek seferde geçerim",1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@haticeaktas4319,1 yıl önce,Hocam çok teşekkür ederim çok güzel anlatmışsın dronla çekim var ya harika olmuş,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@SabireP,1 yıl önce,"Şu ehliyeti alsam bidaha buraları görmek istemem heralde. Ama faydalandığım sevgili ümmet hocam gelip sizin videoları beğenip giderim yinede, abone olmuştum ",3,2,negatif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@aysenur1502,11 ay önce,Birazdan direksiyon sınavım var inşallah gecerim 0dan başladım videolar için teşekkürler hocam ,1,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@dianamashael3910,1 yıl önce,"Çok güzel anlatıyorsunuz  19 kasım da sıvaım var inşallah geçerim  videolarınız çok izliyorum, aldığım dersler daha faydalı buluyorum, emeğine sağlık hocam",2,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@sabihesimsek6258,1 yıl önce,"Ümmet hocam direksiyon egitmeni olmak icin videolarinızı izliyorum mükemmel qnlatış  sürucü adaylarina verdiginiz deger  net gerekli bilgileri aktarmanız supersiniz bigün wgitmen olursam sayenizd3 olucam cünküdqhq nasil ,ne anlatacaklarını yeri zamanı olmadan assagılayarak qnlatan hocalar sizi örnek alsın kimsenin birik8yanlışlq sevkini kırmasınlar wgitmenleri idolü ummet hocam",2,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@berenpb,2 ay önce,"Bugün direksiyon sınavım var. Direksiyon derslerimden önce hep sizin videolarınızı izledim. Kendi sürüş eğitim videolarınızdan da fazlasıyla istifade ettim. Emekleriniz için teşekkür ederim, başarılarınız devamını dilerim. İnşallah hem sizin öğrettiklerinizi hem eğitmen hocamın öğrettiklerini tam anlamıyla başarıyla uygulayarak sınavı geçmeye hak kazanırım, amin.",0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@muratyildirim8439,5 ay önce,Cokkkkkkk teşekkürker hocam çok güzel anlatıyorsunuz Allah razı olsun inşaallah. inşaallah ilk sinavda geçerim Allah herkesin yardımcısı olsun Amin,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@resoyavuz4021,1 yıl önce,Geçen pazar sınavım vardı tekte geçtim hayatımda ilk kez soför koltuğuna oturmuş biri olarak derslere düzenli şekilde gidin fırsat buldukça ümmet hocayı izleyin ve sınav günü sakin kalmaya çalışın kalanların çoğu heyecan yüzünden kalıyor malesef bide komisyon hocanız kötüyse skntı,5,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@meryemgunes1451,1 yıl önce,Dün direksyon sınavım vardı çok şükür geçtim hocam size çok teşekkür ederim herkese bol şanslar,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@semrabozkurt7159,9 ay önce,Çok güzel  anlatıldı,2,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@senakaya3775,1 yıl önce,Ümmet hoca okadar iyi anlatıyorsunuz ki ben biraz geç başvurdum ehliyet için sizi denk geldiğime çok memnunum sizi izliyorum yakında sınavım var çok güzel anlatım olmuş Allah razı olsun,1,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@sevgigunduz3942,1 yıl önce,Hocaların hocası hocam Allah Razı olsun bilmediklerimi sizden öğreniyorum Ehliyetime kavuşursam  ALLAH  rızası için   önce ALLAH sonra sizin sayenizde olacak emeğiniz çok hakkınızı helâl edin ALLAH nasip eder de Ehliyetimi alırsam yine sürekli takipçiniz olucam  iyi bir sürücü olmak için Selametle kalın Hocam,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@matematikciislamoglu2509,1 yıl önce,Tek te geçtim çok şükür ve sizin sayenizde hiç bir sinyali unutmadim,2,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@zeyneperdem842,8 ay önce,Teşekkür ederim emeğinize yüreğinize sağlık,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@aysegunay2981,6 ay önce,Cok faydalı video. Emeğinize sağlık.,1,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@esraozer5511,7 ay önce,Tam sınav öncesi aklımda bir iki sinyal sorusu vardı iyi ki çekmişsiniz bu videoyu :),1,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@zelihakuyucu4451,2 ay önce,Teşekkürler hocam emeğinize sağlık ,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@yigituzun-en6hm,1 yıl önce,Umet hocam süper olmuş bu ayın sonunda direksiyon sınavım var inşallah geçerim ikinci hakim,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@elifelnsylr3380,1 yıl önce,Hocam depremden dolayı kurs yarım kaldı videolarınızla hazırlanıyorum emeğinize sağlık ,3,1,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@esenklc2339,11 ay önce,Vallahi sınava girecek olan ummet hocayı çok iyi dinlesin ben hwrseyi hocadan öğrendim Allahim razı olsun,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@elifoner5094,1 yıl önce,Bende teorik derslere başladım umarım sizin gibi bir hoca denk gelir çok güzel motive ediyorsunuz sürücü adayini,4,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@happysnouts,11 ay önce,6- Duracam demek sağ sinyal demektir. Yola çıkacam  demek sol sinyal demektir.,2,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@BuseÇelik-x7t,1 yıl önce,Gerçekten çok iyi anlatıyorsunuz hocam teşekkürler benimde sınavım var insallah geçerim ,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@bilgiturhan6291,1 ay önce,"Hocam anlatiminiz şahane ""öldükten sonra ibadet yapılmaz"" . Hocam inanın kurstan hiç birşey anlamadım.paralel ve l parkı sizin anlatimizla düzgün yapabiliyorum. Tabi daha direksiyon sınavına girmedim.1 hafta sonra direksiyon sınavım var. Umarım fazla heyecan yapmadan sınavı geçerim.Her için teşekkürler....",0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@denizakdag5496,1 yıl önce,İşte budur ya. Sizin anlatımının benim kafamda daha güzel kalıyor Allah razı olsun ,3,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@TaVuKLaRfLoWeRaCmIs61,1 yıl önce,çok güzel anlatıyorsunuz benim hoca şevkimi kırmaktan başka işe yaramıyor sizden ders alanlar çok şanslı,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@turgaykoncuk2948,4 ay önce,Yarin sabah sınavım var Allah’ın izniyle inşallah tekte geçerim hocam. Lütfen bana dua  edin geçince buraya geçtim demek istiyorum. Sonra araba almak istiyorum çok sizden ders almak istiyorum hocam mükemmel bir direksiyon eğitim hocasınız çok detaylı bilgi veriyorsunuz çok teşekkür ederim size sizin gibi değerli hocalarım hep var olsun inşallah sağlıkla kalın hocam.,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@sukranozker2394,1 yıl önce,Çok güzel acık ve net anlatım,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@extremguzey1327,7 ay önce,"10:28 den sonrasınıi nsanların %99'u yanlış yapıyor, hatta geçen gün direksiyon hocası arkadaşıma söyledim o bile direkt sağ şeride geçilir dedi baktım cahalet paçadan akıyor hııı tamam deyip geçtim, siz videonuzda doğrusunu paylaştığınız için teşekkür ederim.",1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@hulyagungor6505,11 ay önce,Hocam tekrar tekrar izliyorum.Elektronik sınavda da dönüşlerde mesafe ile ilgili  sorular geliyor.,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@simayldz6246,1 yıl önce,Hocam sizin videolarınızı hep izliyorum çok faydalı oldu kendi hocamda iyiydi yarın sınavım var inşallah bir sıkıntı çıkmaz geçerim ,2,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@OyaAkkurt-nm2jg,7 ay önce,Bugün sınavı geçtim videolarınız çok yardımcı oldu teşekkür ederim,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@ensoylemez2077,1 ay önce,Teşekkürler çok vetimliydi,1,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@EmineTunç-u6c,1 yıl önce,Allah razı olsun çok güzel anlatıyorsunuz hocam,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@Selma-vx1ol,4 ay önce,Çok güzel anlatmissiniz hocam yarın sınavım var çok heyecanlanıyorum dua edin nolur herkesin Allah yardımcısı olsun,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@aysegulhazr4533,1 yıl önce,Anlatım çok açıklayıcı olmuş emeğinize sağlık hocam,1,1,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@safiyeyanbas9829,1 yıl önce,Videolarınızı çok izledim çok güzel anlatiyorsunuz hocam yarin sınavım var inşallah bende geçerim bütün adaylarımıza başarılar dilerim,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@ZehraSusam-w2n,1 yıl önce,Hocam teşekkür ederim.Bugun ehliyet  sınavını geçtim .Videolarınız çok faydalı oldu.,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@servetkarsli4262,1 yıl önce,Benimde pazar günü sınavım var inşallah geçerim dua edin herkeze başarılar,3,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@ElifSakar-l3d,1 ay önce,Emeğinize sağlık hocam Allah im razı olsun,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@tugbasenturk2039,1 yıl önce,Çok güzl bir anlatımdı hocam emeğinize sağlık izledm inş daha iyi dikkatli olurz sınavı da geçerz,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@fatmaaydogan5122,1 yıl önce,Çok güzel anlattınız hocam ağzına sağlık hem görsel hem izah edişiniz mükemmel teşekkürler ,2,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@ÇiğdemBalaban-y4j,1 yıl önce,Direksiyon dersine başlamadık aramalarini bekliyorum korktuğum sinyal unutmak insAllah Rabbim korktuğuma uğramaz aminnn.,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@samiyekaratas1937,10 ay önce,Allah razı olsun hocam cok güzel  anlatıyor sunuz benimde yarın  4 cü  dersim sinyalleri cok karıştırı yordum ama sayenizde daha çok iyi anladım ,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@Sibeliummm,1 yıl önce,Hocam çok teşekkür ederiz bu kadar kısa akıcı ve anlaşılır anlattığınız için. Umarım 29 da  sınavımı geçer buraya bende geçtim yazarım ,2,4,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@MuammerDülgeroğlu-y8t,1 yıl önce,Evet çok güzel anlatıyorsunuz Sabahtan beri izliyorum benim de sınavım var,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@mialuu781,1 yıl önce,hocam mala anlatır gibi anlatıyorsunuz çok hoşuma gitti sonunda anladım,3,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@hacerdikici7819,1 yıl önce,Eline emegine yüregine diline sağlık çok teşekkür ederim çok güzel Anlatıyorsunuz Allah ım size çok çok Aboneler versin çünkü siz iyi Hocasınız hak ediyorsunuz çok çok izlenirsin Allah a emanet ol kendine iyi bak Dron la güzel oldu,3,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@DRsmsk,1 yıl önce,Hocam çok güzel anlatmışsınız herşeyi ,1,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@zeynepbulbullu5662,1 yıl önce,Hocam sizin gibi iyi hoca  yok anlatımını çok güzel teşekkür ediyorum size sürekli sizin videolarinizi izliyorum ,2,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@mdiyebirisi6410,3 ay önce,10 gündür eğitim görüyorum 3 hoca değişti 3 u de parklarda sağ sinyal vereceğimi söylemedi pazar sinavim var bu video çok iyi oldu teşekkür ederim,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@demetozturk5815,1 yıl önce,Cok guzel ve detayli bilgiler veriyorsunuz    .bizim hoca ogretmemek icin ne gerektiyse yapti  su an 4. Girisim olacak,2,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@Kralmustafa56,4 ay önce,Yahu hocalığın hakkını sonuna kadar vermişsiniz ennnn iyi sizden anlıyorum iyiki varsınız iyiki sürücü kursu hocası olmuşsunuzTEŞEKKÜRLER ,0,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@asla_vazgecme1608,2 ay önce,Sınavda ince eleyip sık dokuyorlar ama trafikte kurallar uyulmuyor,4,0,negatif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@hulyaaltay1674,9 ay önce,Agzina sağlık hocam çok güzel anlattiniz,0,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@happysnouts,11 ay önce,3- Paralel parkta önce  SAĞA  sonra SOLA direksiyon çevrilir. Bu kadar.,2,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@gulhancal8383,1 yıl önce,Çok güzel anlatmılsınız helal olsu n,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@temelarslan3387,1 yıl önce,Süpersiniz hocam maşallah,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@sevgigunduz3942,6 ay önce,Hayırlı günler hocam,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@sinemkilicceken786,6 ay önce,Allah sizden razı olsun inşallah ben daha yazılmadim en kısa zamanda yazilcam sizin video lar sayesinde kendime güvenim iyice arttı Allah sizden razı olsun gerçekten inşallah bana da sizin gibi iyi bı hoca deng gelir ,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@Kitapasg-jm1jt,1 yıl önce,Ümmet bey çok güzel anlatıyorsunuz  bana çok şeyler kattinuz 2 direksiyon sınavına girdim gecemedim arkadaşımla test sürüşü yaparken yapmadığım hataları  sınavda yaptım kaldım inşallah birdahaji seferde gecicem,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@sevdakrdag8479,1 yıl önce,Harika anlatıyorsunuz hocam keşke hocam olsanız çok açıklayıcı Allah razı olsun direksiyon dersıne gidiyorum ve sızı izliyorum,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@MelekYILDIZ-j7s,1 yıl önce,Emegınıze saglık hocam,1,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@zeynepkorhan9566,1 yıl önce,Hocam ağzınıza sağlık muhteşem anlatıyorsunuz ,2,1,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@MerveDinç-q4i,1 yıl önce,Hocam çok güzel anlatyorsunz insallah sınavdan gecerım anlattığınız gibi uygulamaya çalışıyorum başaracağıma ınanıyorum ,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@yaareennn,10 ay önce,Hocam sayenizde bende geçtim 4-5 gündür sizin videolarınızla pratik yaptım bol bol çalıştım ayrıca bu sinyal videonuzu ekstra çalıştım ve sinyallerimi hiç unutmadım başarıyla geçtim ,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@GulcanOzer-ef5tf,1 yıl önce,Hocam cok iyi anlatiyosunuz  inşallh gecicez bizde,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@hilalalkan5015,10 ay önce,Güzel bi anlatım,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@happysnouts,11 ay önce,8- Dönel kavşakta kavşak içinde olan daima öncelik  hakkına sahiptir.,2,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@SSEENNGGUULL,6 ay önce,Ümmet hocam direksiyon sınavından kaldım ikinci sınava hazırlanıyorum sabahtan beri videolarınızı izliyorum. çok güzel anlatıyorsunuz özellikle şu videolarımı mutlaka izleyin dediğiniz videolar var mı bu sefer kalmak istemiyorum. Keşke sizin videoları daha önce izleseydim,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@kezibandiki8532,9 ay önce,Hocam yokuş kalkışı ile vidyo çekerseniz  birde stop ettirmek ile  anlatımınız çok güzel,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@amangeldiatabayev4919,5 ay önce,HOJAM SİZE TEŞEKKÜR EDERİM GELİYOR SİZİ NASİL BULABİLERİM OKADAR FEÝDANİZ DOKUNDİKİ ANLADAMAM,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@muzikgunlukleri3306,1 yıl önce, tbr ederim eğitmen dediğin böyle olur aldığınız para size helal olsun diyer hocalarda acaba nasil gecemeselerde ücret alsak yine dersindeler özel ders vs başarılarınızın devamını dilerim,3,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@sukrankaydas2838,7 ay önce,Bu kurs hocaları niye böyle yaaa kendim bile bazen sinyal vermediğimi hata yaptığımı farkediyorum ama kurs hocam hiç birşeye müdahale etmiyor. Dile getirmeme rağmen hiç oralı olmuyor. Çok ilgisiz gerçekten ,2,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@besirzegn49,1 yıl önce,Hocam ağzınıza sağlık ,1,1,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@muhammedabdullahabdullatif4617,1 yıl önce,Çok teşekkürederiz,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@eyl65,2 gün önce,Geçersem net sizin sayenizde ,0,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@OderoopOderoop,10 ay önce,Teşekkürler,1,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@gravemare1184,8 ay önce,Yarın direksiyon sınavım var bu videolara son bir göz atayım dedim hadi bakalım,0,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@HeviArgiş,3 ay önce,Bende yeni sürücü adayım ama sıfır bilgi  bide yaş 31 öğrenir miyim bilmiyorum ama videoları çok güzel izleyip bir şeyler öğrenmek istiyorum,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@tuanaa111,1 yıl önce,Dronla çekim mükemmel olmuş hocam,2,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@sevgigunduz3942,1 yıl önce,Hocam bana soruyorlar hangi Sürücü  kursuna kayıtlısın diyorlar ben de YURT SÜRÜCÜ KURSU diyorum hiç duymadık diyorlar çünkü ben İZMİR de yaşıyorum  Hocan kim dediklerinde de ÜMMET TAŞCI hocaların hocası diyorum ,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@OnurLutfuylmaz,7 ay önce,ONURLÜTFÜ YILMAZ 1:37,2,0,nötr
