Yorum,Predicted_Class,Vectorized_Text
h(n-1) grafiği h(n) nin 1 birim saga kaymış hali olmalı mıydı?,negatif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 881 2223 1358
Şapkalı çocuk <3,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 370
kralsın,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Kardeşim soru atsam yapabilir misin biz isin icinden çıkamadık yardım :/,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1543 1702 4610 238 1686
vay bro :),nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Senin de öğretmenler günün kutlu olsun az şey öğretmedin jsjsjsj,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1272 12 2562 120 113 106
Bizim hoca önce h(n)=h(k) yaptıktan sonra sonra sinyalleri -ile çarpıp h(-k) yapıyor ve tek tek sinyalere n sayısı ekleyerek h(n-k) ya dönüştürüyor ve  öyle çözüme başlıyor.Sizin yönteminiz daha pratik aslında ama hocamız kabul etmeyebilir sınavda hangisini yapcagım konusunda kafam karışık.,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 457 55 3635 23 23 20 261 2 49 49 4790 1811 96 2 221 8 263 463 10 430 234 2263
Hocam eleman sayısı bulunurken hep m+n-1 kullanılıyo samples sayısını bulmak için hiç bununla alakalı istisnai bir durum var mı yani sadece m+n olacak şekilde,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1811 303 814 6 30 1430 2221 1 612 25 326 129 67 487 82
"bu dersi geçersem sizin sayenizde, teşekkürler :)",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 722 32
örnekte en son kısımda cevabı veren grafik 1 birim sağ ötelenmesi lazım orda bi yanlışlık olmuş. kafanız karışmasın,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 88 569 3817 1594 300 2147 29 230
hocam iyi günler acaba yorumuma cevap verebilirmisiniz,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 2047 667 1134
allah rızası ıcın ya sınavda cıkıcak .DÇ 2 tane soru var yardımcı ol bana lutfen,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1040 1870 96 155 1702 25 661 126
soru sorabılıymıyoruz acaba cok acıl bana yardımcı olurmusnuz,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1702 667 42 126 661
İnşaallah herkes tek de geçsin kalınırsada üzülmeye degmez çünkü degerliyiz canımız Allah sağlık versin huzur versin Kim ne istiyorsa Allah tan Allah en kısa zaman da  Aydınlıga çıkarsın Bu DUA herkeze gelsin,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 339 49 12 163 1040 1051 4810 3981 4810 1063 35 1040 3848 1040 17 111 84 11 4 4624 1184 3159
"53 yaşındayım Cumartesi sınavım vardı ilk sınavda geçtim,sizin videolarınızın çok faydası oldu teşekkür ederim Rabbim herkesi kolaylıkla geçirsin",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1874 156 37 3 3355 47 104 15 4793 2723
Dron ile çekim acayip iyi olmuş birde normal derslerde pedalları kamera ile çekince daha faydalı oluyor her geçen gün kalitenizi artırıyorsunuz hocam elinize emeğinize sağlık ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 649 1642 7 230 479 206 407 20 8 1173 139 33 298 43 1115 1051
"İkinci hakkımda sınavdan geçtim. Birincide komisyonum kötüydü ve beni strese soktular. İkinci sınavımds ki komisyonlar iyiydi hiç konuşmadılar. Allah sizleri iyi kişilerle karşılaştırsın. İyi süren herkes hakkıyla geçsin inşallah sınavdan. Tek önerim sakin kalın hocanızla dersteymissiniz gibi sakin olun. Stres sizin düşmanınız hata yaptırır. Derste yaptığınız hatalarida neden yaptığınızı öğrenin tekrar etmemek adına hocaniza mutlaka sorun. Başarılar diliyorum herkese. Ümmet hoca da bana çok şey kattı, daha direksiyon dersine başlamadan çoğu şeyi videolarından öğrendim. Ondan da Allah razı olsun. İyi insanların sayısı artsın ",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 287 2090 1198 2 214 287 66 468 30 1040 7 7 2781 339 953 49 1345 675 18 1345 1064 722 1028 320 199 958 205 124 3438 3715 99 11 126 3 106 8 494 995 916 11 1040 120 7 1102 1811
Okadar emek veriyoruz bir sinyal unuttuk diye kalmak nekadar dogru usta suruculer unutuyor hala sinyali aslında bir kac hak verilmeli,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1294 2616 1 4679 69 2227 1818 252 463 1 4678 418
Arkadaşlar bu yorumu sizlerin de dikkat etmesini istediğim için yazıyorum. Aracı başladığı noktaya sorunsuz şekilde getirdiğinizde ve sağa yanaştırırken lütfen ve lütfen sinyal vermeyi unutmayın. Tüm güzergahta eksiksiz hareket etmeye çalışırken patladığım ve kaldığım nokta oldu. Çok üzülmüştüm bunu lütfen siz yapmayın.,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 132 4 1878 12 400 694 6 2657 1724 3921 4436 157 82 2 3331 1000 2 1000 4679 3073 123 1031 840 1476 2326 2 2148 1120 47 3 144 1000 455 2467
Hocam ben ilk sınavdan kaldım hocanın sayesinde şimdi 1500 lira tekrar ödeyip ikinciye girecem ama bu sefer eğitim 3 gün ve ücret çok tuzlu zehir zıkkım olsun diyorum ve asla helal etmiyorum sizin videoları izleyerek gececem birdaha hoca bozuntusunun yüzünü görmek istemiyorum ama sizin gibi hocaların başımızın üstünde yeri vardır teşekkür ediyorum,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 37 128 352 275 3059 199 10 4 1130 940 43 2 3674 3 4427 120 638 2 439 1717 576 722 3886 1249 2117 10 722 18 701 540 162 104 107
"7- Yerleşim yerinde sağa sola döneceksen sinyal 30 metre önceden, çevre yolu yani yerleşim yeri dışında 150 metre önce  sinyal ver, zira burada hız fazladır. Mantık şudur arkadan gelenin pozisyon almasını sağlamak için en makul süreyi tanımamız gerekir.",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1944 864 3331 2972 4679 1713 681 3239 2076 129 1944 540 182 1713 55 4679 2029 112 851 4492 2271 4265 6 17 947 889
O kadar iyi anlatıyorsunuz ki anlamamak mümkün değil.Tesekkur ederim,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 19 7 66 674 15
Videolarınız harika hocam . İnsan cesaret aşılıyorsunuz . Teşekkürler ,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 270 4685 32
"Haydaa, drone çok iyi olmuş hocam, vizyon müthiş..",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 7 230 475
"Hocam merhabalar, ehliyet alma süreci daha önceden araç kullanmayanlar için gerçekten çok çok zor. Bence bol pratik ve emek gerekiyor. Hocalarımın sabırla gösterdiği emek çok büyük. Gerçekten öğretmen bu süreçte sizin de dediğiniz gibi çok önemli. Açıklayıcı ve net anlatımınız sayesinde videolarınız kafamdaki soru işaretlerini giderdi.  Bugün 2. sınavımda geçtim.   İlk sınavda kalınca sizle irtibata geçmiştim Bana moral vermiştiniz. Tekrar teşekkür ederim. Paralel parkta sıra beklememek için komisyon sollayıp öne geçip park yapabilir miyim diye sordu. Hocalarım  komisyonu dinleme derslerimizdeki gibi yap demişlerdi heyecandan tamam dedim ve hizamı alamadığım için ön dubaya değdim. Üstelik derslerde hiç yapmadığım bir hataydı. Bugün komisyon park sırasını  beklememek için yine sollayabilir misin dedi ben de beklemek istediğimi söyledim ve parkurumu başarı ile tamamladım. Ilımlı insanlar denk geldi. Gerçekten gözünüzde büyütmeyin hiçbir sey sizden degerli degil komisyon da bizler gibi insan. Ama ılımlı insanlar denk gelmesi bence çok önemli. Bir tebessüm, olumlu ufak bir söz bile insanın modunu yükseltebiliyor o an. Gerçekten isteyince er ya da geç elbet olacak. Bol pratik yapıp işin mantığını anlarsanız her şey kolaylıkla hallolacaktır. Allah isteyen kurallara uyup saygılı şoför olacak herkese nasip etsin gerçekten büyük mutluluk. Emekleriniz için çok teşekkür ederim ",pozitif,3 59 40 3485 4 722 12 18 3 170 2 700 352 1702 257 2090 37 126 199 104 15 781 4743 6 2596 2826 4610 69 18 1209 528 2 6 521 546 30 1 257 2826 4743 6 130 890 26 12 2776 2 1960 20 585 1521 50 40 197 1462 3618 497 11 18 270 10 585 1521 1618 45 3 170 1 584 356 1 600 46 711 36 353 40 96 11 561 487 632 263 1202 1635 33 106 2723 1040 834 4859 487 99 4408 40 59 6 3 104 15
Sinyal videosu için teşekkürler ümmet hocam,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4679 6 32
Ümmet hocayı youtube da keşfettim.Acayip güzel anlatıyor ben ehliyet almayı düşünürken Ümmet hocanın videolarını izledim resmen araba kullanma olayını çözdüm. Çok güzel bilgiler veriyor sabırlı hocamız. ALLAH razı olsun.,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3542 11 9 3267 26 489 363 502 1026 1319 3 9 2432 265 1040 120
"Droneli anlatım, mükemmel  
Size Allah razı olsun diyorum.",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3128 62 396 1040 120 638
Çok şükür Rabbime Rabbimin izniyle yardımıyla gectimm  Allah komisyon hocalarimdan ve sizdende razı olsun hocam  hakkınızı helal edin  Allah izniyle inşallah hepinizde geçersiniz sıkıntı etmeyin Allaha bırakın sakin olun,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3145 1040 2 120 1717 777 1040 953 201 1306 2130 1345 1064
Hocam hocaların kralısın Allah size sağlık baṣarı ve mutluluklar versin Allaha emanet olun.Ne kadar faydanız oldu.,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1040 396 1051 2 4810 19 47
Acayip bir anlatım hersehire bir ümmet taşçı ,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1642 1 3128 1
Süpersiniz hocam masaalah subanallah,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Muhteşem bir video, izledi, ve geçtim sınavı diyebilirim. Cok teşekkürler",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 269 1 678 2 2090 288 42 32
mis gibi emek kokuyor hocam agzınıza sağlık,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 231 18 2616 1413 1051
"Gerçekten drone çekimleri,sinyal göstergeleri ve park çubukları harika olmuş .Çok beğendik",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 2 2826 68 230 3 1730
"2- iLK KALKIŞ: KOLTUK - KEMER -AYNA  ayarı sıralamasıdır. Ezberle.  Sola  sinyal vermeden, verdikten sonra arkadan gelen aracın  sinyali içselleştirmesi beklenilmeden KALKIŞ yapılmaz.",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 1898 4631 1364 2972 4679 3199 1062 23 213 2139
cok faydalandım tesekkurler.iyi insan hali baska.motive  eden konusmasi diger hocalar gibi degil.hakkiniveriyor.iyi gunler,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 270 2223 428 1260 18
kıymetli anlatımlarınız için çok teşekkürler hocam,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 3 32
Çok şükür geçtim son hakkımda komisyon hocaları cok iyidi Allah'ım herkeze nasip etsin,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3145 2090 88 42 1184 4408
Hocam sagolun videolarınız okadar kıymetli ve egitici ki sizi izleyerek biraz daha stresimi azalttım Okadar gözümde büyüttüm ki sanki kalacak gibi bi his vardı bende tek seferde geçtim rabbim isteyen herkesin yardımcısı olsun inşallah geçersiniz sakin olun sadece yapamıyacagınız hiç bişey yok ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1294 2 66 547 48 8 1294 66 324 4673 18 29 3167 156 245 49 2448 2090 834 575 4571 120 953 1345 1064 67 30 403 21
Yazılı sınavımı geçtimm şimdi Ümmet hocanın videolarıni izleyerek direksiyon derslerime gireceğim günü bekliyorum ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4233 275 232 1335
Harika hocam emeğinize sağlık,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 1051
Bu kadar açıklayıcı bir anlatım yok gerçekten teşekkür ederim ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 19 1 3128 21 40 104 15
Güzel anlatimlarınız için sonsuz teşekkürler hocam Allah razı olsun ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 6 1923 32 1040 120
"Sayın hocam hürmetler. 
Birçok videolarınızı izledim çok da faydası oldu bana Rabbim razı olsun inşallah 
Ehliyetimi 5 ay önce aldım ilk sınavda geçmek nasip oldu. Sizlerin emek emek çektiğiniz videoların bu süreçte çook faydasını gördüm eksik olmayın. Hocam başarılarınız daim olsun. 5 ay sonra YouTube da bir videonuzu görünce, hemen en güncel videonuza girip sizlere teşekkür etmek istedim. Çok teşekkür ederim elinize, dilinize, yüreğinize sağlık",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 177 363 3 11 3355 47 126 120 953 244 55 24 37 47 2616 2616 4 2908 2632 480 938 4252 120 244 23 3542 11 1 614 95 17 4385 2532 4720 104 504 828 3 104 15 1115 1051
Hocam ALLAH razı osunl  dronla cok daha guzel  emeginize sağlik olsun,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1040 42 8 166 120
Direksiyon sınavına hazirlanirken surekli sizin videolarinizi izledim cok faydasi oldu sinavi geçtim cok tesekkur ederim hocam Allah sizden razı olsun Allah sizi cennetine alsin,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3183 722 363 42 47 2090 42 1741 15 1040 3618 120 1040 547
